sRNA	mRNA	IntaRNA_Score	Class
psrr1	sll1762	0.84983	0
psrr1	sll1932	0.84983	0
psrr1	slr1604	0.84983	0
psrr1	sll0250	0.8491	0
psrr1	sll0902	0.8491	0
psrr1	slr0201	0.8491	0
psrr1	slr1651	0.8491	0
isar1	sll1951	0.84838	0
psrr1	slr1105	0.84838	0
psrr1	slr1184	0.84838	0
isar1	slr0209	0.84765	0
psrr1	sll1290	0.84765	0
psrr1	sll1499	0.84765	0
psrr1	sll1726	0.84765	0
psrr1	slr0384	0.84765	0
psrr1	slr1549	0.84765	0
psrr1	slr1738	0.84765	0
psrr1	sll1123	0.84692	0
psrr1	slr1218	0.84692	0
isar1	slr1364	0.84618	0
psrr1	sll1214	0.84618	0
isar1	sll1319	0.84544	0
isar1	slr0104	0.84544	0
psrr1	sll0405	0.84544	0
psrr1	sll0892	0.84544	0
psrr1	sll1425	0.84544	0
psrr1	sll1773	0.84544	0
psrr1	slr1393	0.84544	0
isar1	sll0888	0.8447	0
isar1	slr2128	0.8447	0
psrr1	slr0344	0.8447	0
psrr1	slr1400	0.8447	0
isar1	slr0492	0.84396	0
isar1	slr0827	0.84396	0
isar1	slr1503	0.84396	0
psrr1	sll1586	0.84396	0
psrr1	sll1861	0.84396	0
psrr1	slr0975	0.84396	0
psrr1	sll0858	0.84322	0
psrr1	sll0030	0.84247	0
psrr1	sll1253	0.84247	0
psrr1	sll1277	0.84247	0
psrr1	sll1441	0.84247	0
psrr1	sll1724	0.84247	0
psrr1	sll1929	0.84247	0
psrr1	slr0551	0.84247	0
psrr1	slr1520	0.84247	0
isar1	slr1668	0.84172	0
isar1	slr2036	0.84172	0
psrr1	slr0872	0.84172	0
psrr1	ssr1765	0.84172	0
isar1	sll0776	0.84097	0
isar1	sll0862	0.84097	0
isar1	sll1185	0.84097	0
isar1	sll2015	0.84097	0
psrr1	slr0944	0.84097	0
psrr1	ssr0693	0.84097	0
isar1	slr0891	0.84021	0
psrr1	slr0952	0.84021	0
psrr1	slr1443	0.84021	0
psrr1	slr1933	0.84021	0
psrr1	ssl3379	0.84021	0
isar1	sll0723	0.83945	0
isar1	sll0842	0.83945	0
isar1	slr0099	0.83945	0
isar1	slr0241	0.83945	0
isar1	slr0982	0.83945	0
psrr1	slr1517	0.83945	0
psrr1	slr1567	0.83945	0
isar1	sll0270	0.83869	0
isar1	sll1878	0.83869	0
isar1	slr0846	0.83869	0
isar1	slr1116	0.83869	0
isar1	slr1227	0.83869	0
isar1	ssr1499	0.83869	0
psrr1	slr1122	0.83869	0
psrr1	slr1178	0.83869	0
isar1	sll1461	0.83793	0
isar1	slr0017	0.83793	0
psrr1	sll0493	0.83793	0
psrr1	sll0537	0.83793	0
psrr1	slr0212	0.83793	0
isar1	sll0825	0.83716	0
isar1	sll1917	0.83716	0
psrr1	slr1910	0.83716	0
isar1	sll0261	0.83639	0
isar1	sll1025	0.83639	0
isar1	sll1110	0.83639	0
isar1	slr0702	0.83639	0
isar1	slr0907	0.83639	0
psrr1	slr1826	0.83639	0
isar1	sll0325	0.83562	0
isar1	sll0509	0.83562	0
isar1	slr0357	0.83562	0
isar1	slr1056	0.83562	0
psrr1	sll1236	0.83562	0
psrr1	slr1207	0.83562	0
psrr1	slr1811	0.83562	0
isar1	sll1098	0.83485	0
psrr1	sll0441	0.83485	0
psrr1	sll0445	0.83485	0
psrr1	slr0962	0.83485	0
psrr1	slr0700	0.83407	0
psrr1	slr1913	0.83407	0
isar1	sll0102	0.83329	0
psrr1	sll0095	0.83329	0
psrr1	slr0416	0.83329	0
isar1	slr0962	0.83251	0
isar1	slr2043	0.83251	0
isar1	ssr2781	0.83251	0
psrr1	sll0869	0.83251	0
isar1	sll0749	0.83172	0
isar1	slr0619	0.83172	0
isar1	ssl1923	0.83172	0
psrr1	slr1485	0.83172	0
isar1	sll1355	0.83094	0
isar1	sll1628	0.83094	0
isar1	slr1287	0.83094	0
psrr1	sll0154	0.83094	0
psrr1	sll0660	0.83094	0
psrr1	slr0314	0.83094	0
psrr1	slr1084	0.83094	0
isar1	sll0741	0.83015	0
isar1	sll1841	0.83015	0
isar1	slr0542	0.83015	0
psrr1	sll0269	0.83015	0
psrr1	slr1970	0.83015	0
psrr1	slr1020	0.82935	0
isar1	sll1268	0.82856	0
isar1	slr1501	0.82856	0
isar1	slr1756	0.82856	0
psrr1	slr0044	0.82856	0
psrr1	slr0659	0.82856	0
psrr1	slr2000	0.82856	0
isar1	sll0535	0.82776	0
isar1	slr0633	0.82776	0
psrr1	sll1453	0.82776	0
psrr1	slr1030	0.82776	0
isar1	slr0468	0.82696	0
psrr1	sll0854	0.82696	0
psrr1	sll1151	0.82696	0
psrr1	sll1594	0.82696	0
psrr1	sll1941	0.82696	0
psrr1	slr0331	0.82696	0
isar1	slr1208	0.82615	0
psrr1	sll1640	0.82615	0
psrr1	slr0321	0.82615	0
psrr1	slr1262	0.82615	0
psrr1	sll0064	0.82535	0
psrr1	sll0169	0.82535	0
psrr1	sll0220	0.82535	0
psrr1	sll1373	0.82535	0
psrr1	slr1462	0.82535	0
psrr1	sll0842	0.82454	0
psrr1	sll1882	0.82454	0
psrr1	slr0633	0.82454	0
psrr1	slr0863	0.82454	0
psrr1	ssr2062	0.82454	0
isar1	sll0912	0.82372	0
isar1	slr1416	0.82372	0
isar1	slr2092	0.82372	0
psrr1	sll1021	0.82372	0
psrr1	sll1326	0.82372	0
psrr1	slr0056	0.82372	0
isar1	sll1834	0.82291	0
isar1	slr1697	0.82291	0
psrr1	slr0320	0.82291	0
psrr1	slr0637	0.82291	0
isar1	sll1742	0.82209	0
isar1	sll1920	0.82209	0
isar1	slr0551	0.82209	0
psrr1	sll0067	0.82209	0
psrr1	sll1439	0.82209	0
psrr1	slr0015	0.82209	0
psrr1	slr1085	0.82209	0
psrr1	slr1096	0.82209	0
isar1	sll1541	0.82127	0
isar1	slr1910	0.82127	0
psrr1	sll0336	0.82127	0
psrr1	slr0322	0.82127	0
isar1	sll0178	0.82045	0
psrr1	sll1568	0.82045	0
psrr1	sll1823	0.82045	0
isar1	slr0552	0.81962	0
psrr1	sll0682	0.81962	0
psrr1	sll1530	0.81962	0
psrr1	sll1679	0.81962	0
isar1	sll1209	0.81879	0
isar1	ssr1155	0.81879	0
psrr1	sll1982	0.81879	0
psrr1	slr0460	0.81879	0
isar1	slr1028	0.81796	0
isar1	slr1659	0.81796	0
psrr1	sll0794	0.81796	0
psrr1	sll2002	0.81796	0
psrr1	slr0242	0.81796	0
psrr1	slr1928	0.81796	0
isar1	sll0362	0.81712	0
isar1	sll0651	0.81712	0
isar1	sll0821	0.81712	0
isar1	sll1440	0.81712	0
isar1	slr0689	0.81712	0
isar1	slr1075	0.81712	0
isar1	slr1913	0.81712	0
psrr1	sll0821	0.81712	0
psrr1	slr0120	0.81712	0
isar1	slr1894	0.81629	0
isar1	sll0201	0.81545	0
isar1	sll0431	0.81545	0
isar1	sll0700	0.81545	0
isar1	sll1257	0.81545	0
isar1	sll1397	0.81545	0
isar1	sll1437	0.81545	0
isar1	sll1984	0.81545	0
isar1	slr0191	0.81545	0
isar1	slr0230	0.81545	0
isar1	slr0352	0.81545	0
isar1	slr0704	0.81545	0
isar1	slr1716	0.81545	0
isar1	slr1937	0.81545	0
isar1	slr2113	0.81545	0
isar1	ssr1176	0.81545	0
psrr1	sll1040	0.81545	0
psrr1	slr0531	0.81545	0
isar1	slr1978	0.8146	0
psrr1	sll0068	0.8146	0
psrr1	slr0862	0.8146	0
isar1	slr1535	0.81376	0
psrr1	sll0797	0.81376	0
psrr1	slr0851	0.81376	0
isar1	sll1691	0.81291	0
isar1	sll1998	0.81291	0
isar1	slr0096	0.81291	0
isar1	slr1357	0.81291	0
isar1	slr1956	0.81291	0
psrr1	sll0539	0.81291	0
psrr1	slr1076	0.81291	0
isar1	slr0073	0.81206	0
isar1	slr0630	0.81206	0
isar1	ssr0336	0.81206	0
psrr1	slr1055	0.81206	0
isar1	sll0667	0.81121	0
isar1	sll0685	0.81121	0
isar1	sll1121	0.81121	0
isar1	slr0217	0.81121	0
isar1	slr0476	0.81121	0
psrr1	slr1470	0.81121	0
isar1	sll0321	0.81035	0
isar1	slr0345	0.81035	0
isar1	slr0380	0.81035	0
psrr1	sll0764	0.81035	0
psrr1	sll1507	0.81035	0
psrr1	slr0573	0.81035	0
isar1	sll0578	0.80949	0
psrr1	sll1872	0.80949	0
isar1	sll0740	0.80863	0
isar1	sll1503	0.80863	0
isar1	sll1563	0.80863	0
isar1	sll1805	0.80863	0
psrr1	sll1949	0.80863	0
psrr1	slr1064	0.80863	0
psrr1	slr1424	0.80863	0
isar1	sll1685	0.80776	0
isar1	slr0229	0.80776	0
isar1	slr1705	0.80776	0
psrr1	sll1296	0.80776	0
psrr1	slr0006	0.80776	0
psrr1	slr1019	0.80776	0
psrr1	slr1575	0.80776	0
isar1	slr0489	0.80689	0
isar1	sll0175	0.80602	0
isar1	sll0777	0.80602	0
isar1	sll1520	0.80602	0
isar1	sll1612	0.80602	0
psrr1	sll1590	0.80602	0
psrr1	slr1037	0.80602	0
psrr1	slr1140	0.80602	0
psrr1	sll0412	0.80515	0
psrr1	sll0909	0.80515	0
psrr1	slr0063	0.80515	0
psrr1	slr0066	0.80515	0
psrr1	slr1859	0.80515	0
isar1	sll1930	0.80427	0
isar1	slr2015	0.80427	0
psrr1	slr0381	0.80427	0
isar1	sll1557	0.80339	0
isar1	slr0841	0.80339	0
psrr1	sll0469	0.80339	0
psrr1	sll1618	0.80339	0
psrr1	slr0355	0.80339	0
psrr1	slr0431	0.80339	0
psrr1	slr1740	0.80339	0
isar1	slr0086	0.80251	0
isar1	slr0180	0.80251	0
psrr1	sll1531	0.80251	0
psrr1	slr0545	0.80251	0
psrr1	slr1325	0.80251	0
psrr1	slr1531	0.80251	0
isar1	sll0834	0.80163	0
isar1	slr2042	0.80163	0
isar1	slr2052	0.80163	0
isar1	sll1463	0.80074	0
isar1	slr1747	0.80074	0
psrr1	sll0862	0.80074	0
psrr1	sll1099	0.80074	0
psrr1	sll1980	0.80074	0
isar1	sll0315	0.79985	0
isar1	sll0536	0.79985	0
isar1	sll1255	0.79985	0
isar1	sll1396	0.79985	0
isar1	sll1474	0.79985	0
isar1	sll1560	0.79985	0
isar1	sll1780	0.79985	0
isar1	sll1997	0.79985	0
isar1	slr1212	0.79985	0
isar1	slr1635	0.79985	0
psrr1	slr1329	0.79985	0
psrr1	slr1691	0.79985	0
isar1	sll1527	0.79896	0
isar1	sll1564	0.79896	0
isar1	slr2141	0.79896	0
psrr1	slr1538	0.79896	0
psrr1	slr1979	0.79896	0
isar1	sll1542	0.79806	0
psrr1	sll0286	0.79806	0
psrr1	sll0524	0.79806	0
psrr1	slr0418	0.79806	0
psrr1	slr0435	0.79806	0
psrr1	slr1940	0.79806	0
isar1	sll0058	0.79716	0
isar1	sll1910	0.79716	0
isar1	slr0142	0.79716	0
isar1	slr0298	0.79716	0
isar1	slr1298	0.79716	0
psrr1	sll0098	0.79716	0
psrr1	sll0252	0.79716	0
psrr1	sll0586	0.79716	0
psrr1	sll1180	0.79716	0
psrr1	slr1181	0.79716	0
isar1	sll1738	0.79626	0
isar1	slr0861	0.79626	0
isar1	slr1648	0.79626	0
psrr1	slr1610	0.79626	0
psrr1	slr1815	0.79626	0
isar1	sll0639	0.79535	0
isar1	sll1017	0.79535	0
isar1	sll1466	0.79535	0
isar1	sll1982	0.79535	0
psrr1	sll1772	0.79535	0
isar1	sll1688	0.79445	0
isar1	slr0417	0.79445	0
psrr1	slr1109	0.79445	0
psrr1	slr1522	0.79445	0
isar1	sll0502	0.79354	0
isar1	sll1155	0.79354	0
isar1	sll1659	0.79354	0
isar1	sll1885	0.79354	0
isar1	slr1516	0.79354	1
isar1	slr2118	0.79354	0
psrr1	sll1424	0.79354	0
psrr1	slr0222	0.79354	0
psrr1	slr1351	0.79354	0
psrr1	slr1924	0.79354	0
psrr1	ssl1707	0.79354	0
isar1	sll1040	0.79262	0
isar1	slr1991	0.79262	0
psrr1	slr1098	0.79262	0
psrr1	ssl0294	0.79262	0
isar1	sll0188	0.79171	0
isar1	sll0471	0.79171	0
psrr1	sll0424	0.79171	0
psrr1	sll0462	0.79171	0
psrr1	sll1388	0.79171	0
psrr1	sll1600	0.79171	0
psrr1	sll1725	0.79171	0
psrr1	slr1739	0.79171	0
isar1	sll1037	0.79079	0
isar1	sll1343	0.79079	0
isar1	slr1604	0.79079	0
isar1	slr1667	0.79079	0
psrr1	sll1260	0.79079	0
psrr1	sll1945	0.79079	0
psrr1	slr0272	0.79079	0
psrr1	slr0898	0.79079	0
psrr1	slr1521	0.79079	0
isar1	slr1901	0.78987	0
psrr1	slr1619	0.78987	0
isar1	sll0254	0.78894	0
isar1	sll0822	0.78894	0
isar1	sll1033	0.78894	0
isar1	sll1306	0.78894	0
isar1	slr1490	0.78894	0
isar1	slr2098	0.78894	0
psrr1	sll0736	0.78894	0
psrr1	sll1018	0.78894	0
psrr1	sll1848	0.78894	0
psrr1	sll1869	0.78894	0
psrr1	slr0495	0.78894	0
psrr1	slr1860	0.78894	0
psrr1	slr1134	0.78802	0
psrr1	slr1601	0.78802	0
isar1	sll0837	0.78709	0
isar1	sll1406	0.78709	0
isar1	sll1549	0.78709	0
isar1	slr0820	0.78709	0
isar1	ssl1277	0.78709	0
isar1	slr0364	0.78615	0
psrr1	sll0102	0.78615	0
psrr1	sll1566	0.78615	0
psrr1	slr0152	0.78615	0
psrr1	slr0191	0.78615	0
psrr1	slr0254	0.78615	0
isar1	sll1954	0.78522	0
isar1	slr0011	0.78522	0
isar1	slr2001	0.78522	0
psrr1	sll0180	0.78522	0
psrr1	sll0481	0.78522	0
psrr1	sll0669	0.78522	0
psrr1	slr0038	0.78522	0
psrr1	slr0728	0.78522	0
isar1	sll0355	0.78428	0
isar1	sll1321	0.78428	0
psrr1	sll1254	0.78428	0
psrr1	slr0220	0.78428	0
psrr1	slr1120	0.78428	0
isar1	sll0108	0.78334	0
isar1	sll1510	0.78334	0
psrr1	slr1420	0.78334	0
psrr1	slr1457	0.78334	0
psrr1	slr2005	0.78334	0
isar1	sll0020	0.78239	0
isar1	sll1106	0.78239	0
isar1	sll1570	0.78239	0
isar1	slr1139	0.78239	0
isar1	slr1670	0.78239	0
isar1	slr1724	0.78239	0
isar1	slr1774	0.78239	0
psrr1	sll1200	0.78239	0
isar1	sll0404	0.78144	0
isar1	sll1481	0.78144	0
psrr1	sll1415	0.78144	0
psrr1	sll1874	0.78144	0
isar1	slr1301	0.78049	0
isar1	slr1577	0.78049	0
psrr1	sll1696	0.78049	0
isar1	slr0156	0.77954	0
isar1	slr0659	0.77954	0
isar1	slr1332	0.77954	0
isar1	slr1511	0.77954	0
isar1	slr2060	0.77954	0
psrr1	sll0422	0.77954	0
psrr1	sll0099	0.77859	0
psrr1	slr1944	0.77859	0
isar1	sll1060	0.77763	0
isar1	slr1315	0.77763	0
psrr1	sll1556	0.77763	0
psrr1	slr1423	0.77763	0
isar1	slr2049	0.77667	0
psrr1	sll1178	0.77667	0
psrr1	slr0165	0.77667	0
psrr1	slr0354	0.77667	0
psrr1	slr0687	0.77667	0
psrr1	ssr3300	0.77667	0
isar1	slr0366	0.7757	0
psrr1	sll0849	0.7757	0
psrr1	slr1598	0.7757	0
psrr1	slr1752	0.7757	0
isar1	sll0157	0.77473	0
psrr1	sll0027	0.77473	0
psrr1	sll0474	0.77473	0
psrr1	sll1233	0.77473	0
psrr1	sll1423	0.77473	0
psrr1	slr0747	0.77473	0
psrr1	slr0796	0.77473	0
psrr1	slr0950	0.77473	0
psrr1	slr1248	0.77473	0
psrr1	slr1254	0.77473	0
isar1	sll0671	0.77376	0
psrr1	slr1348	0.77376	0
psrr1	slr2046	0.77376	0
isar1	slr0106	0.77279	0
psrr1	sll1247	0.77279	0
psrr1	sll1851	0.77279	0
psrr1	slr1629	0.77279	0
psrr1	sll1440	0.77182	0
psrr1	sll1516	0.77182	0
psrr1	sll1768	0.77182	0
psrr1	slr0311	0.77182	0
psrr1	slr1398	0.77182	0
isar1	sll1271	0.77084	0
isar1	slr0565	0.77084	0
psrr1	sll0899	0.77084	0
psrr1	slr1415	0.77084	0
isar1	sll0829	0.76986	0
isar1	slr1509	0.76986	0
psrr1	sll1495	0.76986	0
psrr1	slr0656	0.76986	0
isar1	sll1334	0.76887	0
psrr1	sll1723	0.76887	0
psrr1	slr0810	0.76887	0
psrr1	slr2104	0.76887	0
psrr1	ssl0788	0.76887	0
isar1	sll0136	0.76788	0
isar1	sll0513	0.76788	0
isar1	slr0201	0.76788	0
isar1	slr1257	0.76788	0
psrr1	sll0217	0.76788	0
psrr1	slr0090	0.76788	0
psrr1	slr0661	0.76788	0
psrr1	slr0680	0.76788	0
psrr1	slr2127	0.76788	0
isar1	sll0436	0.76689	0
psrr1	slr0993	0.76689	0
isar1	sll0638	0.7659	0
isar1	sll1053	0.7659	0
isar1	slr0829	0.7659	0
psrr1	sll0471	0.7659	0
psrr1	sll1822	0.7659	0
psrr1	slr0879	0.7659	0
psrr1	slr1529	0.7659	0
psrr1	slr1744	0.7659	0
psrr1	ssl1972	0.7659	0
isar1	sll0288	0.76491	0
isar1	sll0742	0.76491	0
isar1	slr0088	0.76491	0
isar1	slr1702	0.76491	0
isar1	slr1992	0.76491	0
psrr1	sll0094	0.76491	0
psrr1	sll0577	0.76491	0
psrr1	sll1961	0.76491	0
psrr1	slr0519	0.76491	0
psrr1	slr1117	0.76491	0
isar1	sll1158	0.76391	0
isar1	slr0534	0.76391	0
isar1	slr0606	0.76391	0
psrr1	sll0877	0.76391	0
psrr1	sll0932	0.76391	0
isar1	sll1693	0.76291	0
isar1	slr0408	0.76291	0
psrr1	sll0728	0.76291	0
psrr1	sll1678	0.76291	0
psrr1	slr1053	0.76291	0
psrr1	slr1056	0.76291	0
psrr1	slr1211	0.76291	0
psrr1	slr1245	0.76291	0
isar1	slr1307	0.7619	0
psrr1	slr2105	0.7619	0
isar1	sll1946	0.76089	0
isar1	slr0897	0.76089	0
psrr1	slr1912	0.76089	0
isar1	sll1884	0.75988	0
isar1	slr0020	0.75988	0
isar1	slr0327	0.75988	0
psrr1	sll0170	0.75988	0
psrr1	sll1300	0.75988	0
isar1	sll0283	0.75887	0
isar1	sll0658	0.75887	0
isar1	sll0848	0.75887	0
psrr1	sll1598	0.75887	0
psrr1	sll1885	0.75887	0
psrr1	slr0261	0.75887	0
psrr1	slr1280	0.75887	0
isar1	sll1203	0.75785	0
isar1	slr1390	0.75785	0
isar1	slr1395	0.75785	0
psrr1	sll1558	0.75785	0
psrr1	sll1564	0.75785	0
psrr1	slr0626	0.75785	0
psrr1	slr0775	0.75785	0
isar1	sll1849	0.75684	0
isar1	sll1939	0.75684	0
isar1	slr0341	0.75684	0
isar1	slr1233	0.75684	0
psrr1	sll1621	0.75684	0
psrr1	slr1563	0.75684	0
psrr1	slr1657	0.75684	0
isar1	sll0057	0.75581	0
isar1	sll1272	0.75581	0
isar1	sll1629	0.75581	0
isar1	slr1169	0.75581	0
isar1	slr1260	0.75581	0
isar1	slr1440	0.75581	0
psrr1	sll1363	0.75581	0
psrr1	slr0271	0.75581	0
isar1	sll0088	0.75479	0
isar1	slr0016	0.75479	0
isar1	slr1930	0.75479	0
psrr1	slr0179	0.75479	0
psrr1	slr0493	0.75479	0
psrr1	slr0793	0.75479	0
psrr1	slr0886	0.75479	0
psrr1	slr1762	0.75479	0
psrr1	slr1871	0.75479	0
psrr1	slr2073	0.75479	0
psrr1	sll0205	0.75376	0
psrr1	sll0414	0.75376	0
psrr1	sll1283	0.75376	0
psrr1	sll1348	0.75376	0
psrr1	slr0014	0.75376	0
psrr1	slr0228	0.75376	0
isar1	sll0030	0.75273	0
isar1	slr0500	0.75273	0
isar1	slr0780	0.75273	0
psrr1	slr0333	0.75273	0
psrr1	slr1974	0.75273	0
isar1	sll0071	0.7517	0
isar1	sll0984	0.7517	0
isar1	sll1165	0.7517	0
isar1	sll1582	0.7517	0
isar1	sll1895	0.7517	0
psrr1	slr0199	0.7517	0
psrr1	slr1002	0.7517	0
psrr1	slr1214	0.7517	0
psrr1	slr1301	0.7517	0
psrr1	ssl0511	0.7517	0
isar1	slr0966	0.75066	0
isar1	slr1819	0.75066	0
psrr1	sll0623	0.75066	0
psrr1	sll1043	0.75066	0
psrr1	slr0209	0.75066	0
isar1	sll1726	0.74963	0
isar1	sll1818	0.74963	0
isar1	slr0798	0.74963	0
isar1	slr1000	0.74963	0
isar1	ssr1600	0.74963	0
psrr1	sll0142	0.74963	0
psrr1	sll0369	0.74963	0
psrr1	slr0649	0.74963	0
psrr1	ssl3093	0.74963	0
isar1	sll1670	0.74858	0
isar1	sll2007	0.74858	0
psrr1	slr1127	0.74858	0
psrr1	slr1390	0.74858	0
psrr1	slr1503	0.74858	0
isar1	sll0350	0.74754	0
isar1	sll1773	0.74754	0
psrr1	sll0513	0.74754	0
psrr1	sll1334	0.74754	0
psrr1	sll1864	0.74754	0
psrr1	slr0838	0.74754	0
psrr1	slr1746	0.74754	0
isar1	sll1099	0.74649	0
isar1	sll1338	0.74649	0
isar1	slr0161	0.74649	0
isar1	slr1162	0.74649	0
isar1	slr1918	0.74649	0
psrr1	sll0147	0.74649	0
psrr1	ssl1004	0.74649	0
isar1	slr0015	0.74544	0
isar1	slr1939	0.74544	0
isar1	slr2009	0.74544	0
psrr1	sll0608	0.74544	0
psrr1	slr0590	0.74544	0
psrr1	slr0980	0.74544	0
psrr1	slr1734	0.74544	0
isar1	sll0166	0.74439	0
isar1	sll1713	0.74439	0
isar1	slr2051	0.74439	0
psrr1	sll0786	0.74439	0
isar1	sll1531	0.74333	0
isar1	slr0081	0.74333	0
isar1	slr0319	0.74333	0
isar1	slr0749	0.74333	0
isar1	slr0822	0.74333	0
isar1	slr1392	0.74333	0
isar1	slr1687	0.74333	0
isar1	slr1710	0.74333	0
psrr1	sll1626	0.74333	0
psrr1	slr1773	0.74333	0
psrr1	slr1283	0.74228	0
psrr1	slr1943	0.74228	0
isar1	sll0217	0.74121	0
isar1	sll0597	0.74121	0
isar1	sll1854	0.74121	0
isar1	sll1927	0.74121	0
isar1	slr0331	0.74121	0
isar1	slr0436	0.74121	0
isar1	slr0533	0.74121	0
isar1	slr1398	0.74121	0
psrr1	sll1036	0.74121	0
psrr1	sll1739	0.74121	0
psrr1	slr2119	0.74121	0
isar1	sll0710	0.74015	0
isar1	sll0998	0.74015	0
isar1	slr1303	0.74015	0
psrr1	sll0626	0.74015	0
psrr1	sll1378	0.74015	0
isar1	sll0377	0.73908	0
isar1	slr0709	0.73908	0
psrr1	sll1086	0.73908	0
psrr1	slr1570	0.73908	0
psrr1	slr2017	0.73908	0
isar1	sll1086	0.73801	0
isar1	slr1066	0.73801	0
isar1	slr1945	0.73801	0
psrr1	sll0373	0.73801	0
psrr1	sll0938	0.73801	0
psrr1	slr1192	0.73801	0
psrr1	ssl3432	0.73801	0
isar1	sll1823	0.73694	0
isar1	slr0616	0.73694	0
isar1	slr1167	0.73694	0
psrr1	sll1023	0.73694	0
psrr1	slr0498	0.73694	0
psrr1	slr1247	0.73694	0
isar1	slr1796	0.73587	0
psrr1	sll1647	0.73587	0
psrr1	sll1734	0.73587	0
psrr1	sll1775	0.73587	0
psrr1	slr0309	0.73587	0
psrr1	slr0484	0.73587	0
psrr1	slr1838	0.73587	0
psrr1	slr1931	0.73587	0
psrr1	slr2041	0.73479	0
isar1	sll0170	0.73371	0
isar1	sll0857	0.73371	0
isar1	slr0444	0.73371	0
isar1	slr0459	0.73371	0
isar1	slr1779	0.73371	0
psrr1	sll0182	0.73371	0
psrr1	sll0737	0.73371	0
psrr1	sll1444	0.73371	0
isar1	sll0594	0.73262	0
isar1	sll1464	0.73262	0
isar1	slr0309	0.73262	0
isar1	slr1658	0.73262	0
psrr1	sll1318	0.73262	0
psrr1	sll1824	0.73262	0
psrr1	slr0337	0.73262	0
isar1	sll0897	0.73154	0
psrr1	slr0662	0.73154	0
psrr1	slr1274	0.73154	0
psrr1	slr1364	0.73154	0
isar1	slr1418	0.73045	0
psrr1	sll0750	0.73045	0
psrr1	sll1098	0.73045	0
psrr1	sll1639	0.73045	0
psrr1	slr1220	0.73045	0
psrr1	slr1241	0.73045	0
isar1	sll0542	0.72935	0
isar1	sll1143	0.72935	0
isar1	sll1502	0.72935	0
isar1	sll1848	0.72935	0
isar1	slr1351	0.72935	0
isar1	slr1597	0.72935	0
isar1	slr1968	0.72935	0
psrr1	slr0421	0.72935	0
psrr1	slr1788	0.72935	0
psrr1	slr2115	0.72935	0
isar1	sll1630	0.72826	0
isar1	slr1805	0.72826	0
psrr1	sll0016	0.72826	0
psrr1	sll1450	0.72826	0
psrr1	sll1572	0.72826	0
psrr1	sll1761	0.72826	0
psrr1	slr0739	0.72826	0
psrr1	slr1735	0.72826	0
isar1	sll0703	0.72716	0
isar1	slr0587	0.72716	0
isar1	slr0819	0.72716	0
psrr1	sll0499	0.72716	0
psrr1	sll1106	0.72716	0
psrr1	sll1121	0.72716	0
psrr1	sll1350	0.72716	0
psrr1	slr0585	0.72716	0
isar1	slr1325	0.72606	0
isar1	ssr0759	0.72606	0
psrr1	sll1374	0.72606	0
psrr1	sll1418	0.72606	0
psrr1	slr0742	0.72606	0
psrr1	slr0765	0.72606	0
psrr1	slr2089	0.72606	0
isar1	sll0482	0.72496	0
isar1	sll0572	0.72496	0
isar1	sll1151	0.72496	0
isar1	sll1858	0.72496	0
isar1	slr0723	0.72496	0
isar1	slr1207	0.72496	0
isar1	slr1300	0.72496	0
psrr1	sll1671	0.72496	0
psrr1	slr0186	0.72496	0
psrr1	slr0260	0.72496	0
psrr1	slr0904	0.72496	0
isar1	sll0053	0.72385	0
isar1	sll0065	0.72385	0
isar1	sll0877	0.72385	0
isar1	sll0981	0.72385	0
psrr1	sll1006	0.72385	0
psrr1	sll1491	0.72385	0
psrr1	sll1814	0.72385	0
psrr1	slr0593	0.72385	0
isar1	sll0085	0.72274	0
isar1	sll0558	0.72274	0
isar1	sll1318	0.72274	0
isar1	sll1626	0.72274	0
isar1	slr0915	0.72274	0
isar1	slr1136	0.72274	0
psrr1	sll0078	0.72274	0
psrr1	sll0654	0.72274	0
psrr1	slr0591	0.72274	0
psrr1	slr1668	0.72274	0
psrr1	slr1969	0.72274	0
psrr1	slr2044	0.72274	0
isar1	sll0269	0.72163	0
isar1	sll1072	0.72163	0
isar1	sll1388	0.72163	0
isar1	slr1424	0.72163	0
psrr1	slr0017	0.72163	0
psrr1	slr1495	0.72163	0
isar1	sll1613	0.72051	0
isar1	slr0469	0.72051	0
isar1	slr1489	0.72051	0
isar1	slr1940	0.72051	0
psrr1	sll0590	0.72051	0
psrr1	sll0687	0.72051	0
psrr1	sll1064	0.72051	0
psrr1	slr0444	0.72051	0
psrr1	slr1452	0.72051	0
isar1	sll0794	0.71939	0
isar1	slr0809	0.71939	0
isar1	slr0879	0.71939	0
isar1	slr1037	0.71939	0
isar1	slr1044	0.71939	0
psrr1	sll0644	0.71939	0
isar1	sll0272	0.71827	0
isar1	sll0329	0.71827	0
isar1	sll1224	0.71827	0
isar1	sll1594	0.71827	0
isar1	slr1735	0.71827	0
psrr1	sll0614	0.71827	0
psrr1	sll1241	0.71827	0
isar1	sll0263	0.71715	0
isar1	slr0114	0.71715	0
isar1	slr0989	0.71715	0
psrr1	sll1395	0.71715	0
isar1	slr0363	0.71603	0
isar1	slr0646	0.71603	0
psrr1	sll1365	0.71603	0
psrr1	slr0473	0.71603	0
psrr1	slr0521	0.71603	0
psrr1	ssr2439	0.71603	0
isar1	slr1203	0.7149	0
psrr1	sll0319	0.7149	0
psrr1	sll1358	0.7149	0
