sRNA	mRNA	CopraRNA_Score	Class
oxys	fadd	0.94945	0
dsra	ydbj	0.94944	0
ryhb	phoh	0.94944	0
omra	ycjx	0.94943	0
rsex	insc1	0.94942	0
spf	ybiv	0.94942	0
fnrs	yfcg	0.94941	0
mica	lpxa	0.94941	0
sgrs	mgsa	0.9494	0
fnrs	sapd	0.94939	0
arcz	yafj	0.94937	0
spf	mepm	0.94937	0
rpra	leub	0.94936	0
omrb	ycaq	0.94934	0
rybb	yidh	0.94934	0
sgrs	lpoa	0.94934	0
arcz	srlr	0.94933	0
spf	cura	0.94933	0
gcvb	fre	0.94932	0
rybb	arom	0.94932	0
dsra	pepb	0.9493	0
mica	skp	0.9493	0
istr	ydhl	0.94929	0
mica	yhgn	0.94928	0
micc	kgtp	0.94925	0
micc	yicc	0.94925	0
glmz	yeav	0.94924	0
omra	hemd	0.94924	0
omra	sera	0.94924	0
arcz	glnq	0.94923	0
gcvb	guaa	0.94923	0
spf	ybir	0.94922	0
cyar	znub	0.94921	0
gcvb	nudf	0.94919	0
omrb	glts	0.94919	0
ryhb	napg	0.94919	0
rybb	yiaf	0.94918	0
omra	astc	0.94917	0
spf	csta	0.94917	0
omrb	laca	0.94916	0
spf	bhsa	0.94916	0
cyar	xerd	0.94915	0
mica	exut	0.94914	0
omra	cysz	0.94912	0
cyar	quea	0.94909	0
mica	setb	0.94909	0
rydc	flgd	0.94909	0
istr	lolb	0.94908	0
mica	yoag	0.94908	0
micf	sdaa	0.94907	0
rsex	ycgn	0.94907	0
dsra	dgoa	0.94906	0
fnrs	tala	0.94906	0
cyar	guab	0.94905	0
omra	kbaz	0.94905	0
arcz	yffb	0.94904	0
cyar	yihg	0.94904	0
mcas	yebe	0.94904	0
rybb	puua	0.94904	0
mica	mlae	0.94903	0
rpra	yqaa	0.94903	0
istr	ycem	0.94901	0
omra	yiau	0.94901	0
spf	yqge	0.94901	0
oxys	chbc	0.949	0
istr	mota	0.94899	0
chix	hscb	0.94897	0
rybb	yqii	0.94897	0
micf	rtca	0.94896	0
rpra	heml	0.94896	0
gcvb	frda	0.94895	0
gcvb	psts	0.94895	0
omra	ydhy	0.94894	0
ryhb	ydat	0.94894	0
micf	clps	0.94893	0
omra	cynr	0.94893	0
rsex	yejl	0.94892	0
cyar	sufs	0.9489	0
istr	tig	0.9489	0
micc	infa	0.94889	0
micc	thrc	0.94889	0
dsra	case	0.94888	0
arcz	dgt	0.94887	0
cyar	flhc	0.94887	0
micf	yacl	0.94887	0
oxys	flda	0.94887	0
cyar	hupb	0.94885	0
fnrs	gph	0.94885	0
istr	ugd	0.94885	0
fnrs	yacc	0.94884	0
mcas	ppda	0.94884	0
mica	rcsd	0.94884	0
omra	uup	0.94883	0
mcas	entf	0.94882	0
rydc	cca	0.94881	0
mica	ycct	0.9488	0
rsex	ysab	0.9488	0
spf	dsrb	0.9488	0
arcz	lyss	0.94878	0
omra	fpr	0.94878	0
rpra	tomb	0.94876	0
oxys	bssr	0.94875	0
mica	gltp	0.94874	0
spf	yjbd	0.94874	0
arcz	rplq	0.94873	0
omrb	essq	0.94872	0
arcz	yhdt	0.94871	0
arcz	trma	0.9487	0
micc	spee	0.94868	0
gcvb	dtpa	0.94867	0
mcas	ybav	0.94867	0
cyar	uhpa	0.94866	0
micc	maze	0.94866	0
sgrs	gntu	0.94866	0
micf	ilva	0.94865	0
fnrs	pgk	0.94863	0
oxys	rlmm	0.94861	0
omra	yfcr	0.9486	0
rybb	rtca	0.9486	0
omra	fabr	0.94859	0
oxys	acph	0.94859	0
spf	dtpa	0.94859	0
oxys	bglj	0.94858	0
sgrs	ybjq	0.94858	0
spf	ydhs	0.94857	0
rpra	argp	0.94856	0
sgrs	ydea	0.94856	0
omrb	ssud	0.94855	0
rybb	rhas	0.94854	0
sgrs	cytr	0.94854	0
omra	yjjw	0.94853	0
arcz	ppsa	0.94852	0
fnrs	cydb	0.94852	0
omrb	prow	0.94852	0
spf	yihx	0.94852	0
omra	seca	0.9485	0
gcvb	fpr	0.94849	0
omrb	mzra	0.94849	0
cyar	ydhj	0.94848	0
rpra	agp	0.94847	0
gcvb	dini	0.94846	0
fnrs	yehb	0.94845	0
mica	ycio	0.94845	0
istr	hisq	0.94844	0
spf	yoab	0.94844	0
micc	mara	0.94843	0
spf	uvry	0.94842	0
chix	osme	0.94841	0
rsex	mltf	0.94841	0
rpra	dsbc	0.94839	0
gcvb	mhpt	0.94838	0
rsex	ybat	0.94838	0
glmz	cpsg	0.94837	0
micc	yeao	0.94837	0
dsra	narp	0.94836	0
mcas	yfat	0.94836	0
omra	ylii	0.94836	0
mcas	thih	0.94835	0
mica	flga	0.94835	0
micc	rspb	0.94835	0
sgrs	yjbq	0.94835	0
spf	lpoa	0.94835	0
gcvb	rsec	0.94834	0
arcz	yhgn	0.94832	0
istr	yccj	0.94832	0
spf	eama	0.94832	0
spf	yqik	0.94831	0
arcz	nlpc	0.94829	0
mica	hiss	0.94827	0
sgrs	pnta	0.94827	0
ryhb	infc	0.94825	0
spf	cdar	0.94825	0
gcvb	yhjb	0.94824	0
glmz	hslv	0.94824	0
rydc	mdlb	0.94824	0
arcz	yjdn	0.94823	0
rsex	wcaj	0.94823	0
omra	lpxp	0.94822	0
spf	dtpc	0.94822	0
chix	ybel	0.94821	0
dsra	yebf	0.94821	0
mica	chiq	0.94821	0
oxys	sfmc	0.9482	0
omra	csid	0.94819	0
micc	folp	0.94818	0
omra	ampg	0.94818	0
omra	nac	0.94817	0
rpra	gltb	0.94817	0
rybb	ysga	0.94817	0
rydc	hemd	0.94816	0
gcvb	nsrr	0.94815	0
gcvb	ydee	0.94815	0
mica	plsy	0.94815	0
glmz	mutm	0.94814	0
istr	trxc	0.94814	0
dsra	ydbh	0.94812	0
micf	sucb	0.94812	0
dsra	eutm	0.94811	0
mica	poth	0.9481	0
omrb	sera	0.9481	0
arcz	yihu	0.94809	0
rybb	gsph	0.94809	0
arcz	dada	0.94807	0
omra	insf1	0.94806	0
rpra	recn	0.94806	0
arcz	prc	0.94805	0
arcz	csie	0.94804	0
mcas	ruta	0.94804	0
mica	ychj	0.94803	0
ryhb	cysg	0.94803	0
sgrs	ubia	0.94803	0
gcvb	glne	0.94802	0
rpra	fdhd	0.94802	0
micc	mutt	0.94801	0
micf	arfb	0.94801	0
omrb	phet	0.94801	0
omrb	ymia	0.948	0
istr	rpmj	0.94799	0
rpra	mpra	0.94798	0
ryhb	metl	0.94798	0
chix	aspa	0.94796	0
cyar	frc	0.94796	0
rpra	ampd	0.94796	0
micf	yhhz	0.94795	0
istr	mlae	0.94794	0
micf	flgh	0.94794	0
omra	fhue	0.94794	0
glmz	rspb	0.94792	0
rybb	chey	0.94791	0
glmz	ysab	0.94789	0
rpra	ucpa	0.94789	0
arcz	ilvy	0.94788	0
oxys	cobs	0.94788	0
glmz	rpsg	0.94786	0
sgrs	yaaa	0.94786	0
fnrs	tate	0.94785	0
mcas	mrda	0.94785	0
ryhb	ilvd	0.94785	0
cyar	this	0.94784	0
rpra	accb	0.94782	0
ryhb	yhal	0.94782	0
micc	rng	0.9478	0
rybb	mray	0.9478	0
sgrs	yqca	0.9478	0
mcas	uxur	0.94779	0
dsra	rbsc	0.94775	0
rsex	yncj	0.94775	0
sgrs	fhud	0.94775	0
arcz	tmk	0.94774	0
fnrs	frla	0.94774	0
rsex	taub	0.94774	0
chix	csda	0.94773	0
oxys	cadc	0.94772	0
ryhb	tata	0.94772	0
omra	ubij	0.9477	0
cyar	yche	0.94767	0
chix	rhta	0.94766	0
micf	recb	0.94765	0
dsra	map	0.94763	0
rybb	ihfa	0.94763	0
mcas	yihu	0.94762	0
sgrs	yfae	0.94762	0
cyar	yide	0.9476	0
istr	agav	0.9476	0
micc	mlaf	0.9476	0
cyar	mmum	0.94759	0
gcvb	tolr	0.94759	0
omra	coae	0.94759	0
omrb	yadl	0.94759	0
arcz	rnha	0.94758	0
arcz	yiam	0.94757	0
gcvb	ynjh	0.94757	0
omra	paaz	0.94756	0
ryhb	yebg	0.94756	0
omrb	mutm	0.94752	0
rsex	lptf	0.94751	0
rybb	yjab	0.94751	0
spf	ybdl	0.94751	0
fnrs	ybet	0.9475	0
mica	taua	0.94748	0
rpra	yhak	0.94748	0
dsra	efeo	0.94747	0
dsra	hrpb	0.94746	0
rybb	ascg	0.94744	0
spf	exut	0.94743	0
glmz	fhla	0.94742	0
gcvb	ulag	0.94741	0
micf	ytfj	0.94741	0
gcvb	uxur	0.9474	0
istr	hypd	0.94739	0
gcvb	mutm	0.94738	0
arcz	murp	0.94737	0
chix	acef	0.94737	0
glmz	ybey	0.94737	0
omrb	aas	0.94737	0
rsex	rrrd	0.94737	0
mica	gloa	0.94736	0
rybb	yhdz	0.94736	0
fnrs	spy	0.94735	0
omra	dxs	0.94735	0
ryhb	fetb	0.94735	0
spf	yafw	0.94734	0
mica	ggt	0.94733	0
micc	yeey	0.94733	0
spf	yqib	0.94733	0
dsra	rpon	0.94731	0
omra	ndh	0.94731	0
chix	pqic	0.9473	0
dsra	fdng	0.9473	0
spf	fsr	0.94729	0
arcz	wcal	0.94728	0
istr	yebe	0.94727	0
rybb	chbb	0.94725	0
spf	yegt	0.94725	0
gcvb	yfcf	0.94723	0
omra	dfp	0.94722	0
omrb	aldb	0.94721	0
rydc	yejb	0.94721	0
mica	deoc	0.9472	0
arcz	pldb	0.94719	0
mcas	rlma	0.94718	0
omrb	rcsc	0.94718	0
spf	yjbq	0.94717	0
dsra	yijd	0.94716	0
micf	mcbr	0.94715	0
fnrs	ppdc	0.94714	0
mica	nlpe	0.94714	0
sgrs	gsta	0.94713	0
mcas	cho	0.94712	0
mica	mscs	0.94712	0
micf	chey	0.94712	0
rydc	dxs	0.94712	0
spf	yciq	0.94712	0
chix	yqfa	0.94711	0
mica	yqej	0.94711	0
sgrs	ddla	0.94711	0
oxys	yfex	0.94709	0
mica	yceb	0.94708	0
spf	actp	0.94705	0
oxys	rsea	0.94704	0
spf	dadx	0.94703	0
istr	ybed	0.94702	0
omra	sdhe	0.947	0
oxys	yidj	0.947	0
rpra	flhc	0.94699	0
mica	dedd	0.94698	0
arcz	naph	0.94697	0
omra	rbsd	0.94697	0
sgrs	poti	0.94697	0
chix	polb	0.94695	0
rydc	metq	0.94695	0
sgrs	ybba	0.94695	0
arcz	ydei	0.94694	0
rsex	lyss	0.94693	0
omrb	yial	0.94692	0
oxys	chpb	0.94692	0
rybb	hrpb	0.94692	0
spf	ubig	0.94692	0
gcvb	cyse	0.94691	0
mcas	tufb	0.94691	0
chix	bamb	0.94689	0
omra	ahr	0.94689	0
sgrs	yrda	0.94688	0
rsex	grca	0.94687	0
rybb	yoaa	0.94684	0
gcvb	gudp	0.94683	0
gcvb	ugpb	0.94683	0
cyar	yaji	0.94681	0
rybb	pept	0.94677	0
fnrs	biof	0.94676	0
istr	yebg	0.94676	0
istr	lysc	0.94675	0
chix	pgk	0.94674	0
istr	nuob	0.94674	0
arcz	djlc	0.94673	0
micc	sfmd	0.94671	0
arcz	flgn	0.94669	0
chix	pmba	0.94668	0
chix	yiie	0.94667	0
mica	aroh	0.94667	0
mica	tpx	0.94667	0
rsex	hofb	0.94667	0
rybb	yjjq	0.94667	0
rydc	eda	0.94667	0
ryhb	mak	0.94667	0
gcvb	ldca	0.94666	0
mcas	yahc	0.94665	0
omrb	sufd	0.94665	0
mcas	yjbb	0.94663	0
sgrs	rpe	0.94663	0
rybb	mred	0.94662	0
spf	rpsu	0.9466	0
gcvb	fadr	0.94659	0
gcvb	yfjd	0.94657	0
fnrs	psd	0.94656	0
mica	nudi	0.94656	0
ryhb	grca	0.94656	0
spf	slyx	0.94656	0
omrb	murb	0.94655	0
rpra	yhhm	0.94655	0
arcz	nudg	0.94654	0
gcvb	rpob	0.94654	0
mcas	yqfa	0.94654	0
ryhb	trma	0.94652	0
fnrs	yiaj	0.94651	0
gcvb	xseb	0.94651	0
istr	spot	0.94651	0
mica	glpa	0.94651	0
oxys	yigf	0.94651	0
rpra	rlme	0.94649	0
rpra	glgx	0.94647	0
istr	uraa	0.94644	0
dsra	mntr	0.94643	0
omra	ycjy	0.94642	0
sgrs	yadh	0.94642	0
spf	prma	0.94642	0
istr	ylbe	0.94641	0
spf	tpia	0.94641	0
mcas	dinj	0.9464	0
mica	aslb	0.9464	0
mica	rplf	0.94639	0
rybb	ftsx	0.94639	1
fnrs	ycgr	0.94638	0
micf	ptsp	0.94637	0
chix	yfal	0.94636	0
rybb	lsrk	0.94634	0
fnrs	phr	0.94633	0
spf	rbsr	0.94633	0
fnrs	ycjn	0.94631	0
oxys	fixb	0.9463	0
rpra	ydbj	0.94629	0
gcvb	dnaj	0.94628	0
mcas	lpd	0.94628	0
spf	ampd	0.94627	0
spf	atob	0.94626	0
rpra	prc	0.94625	0
rsex	pola	0.94625	0
mica	bame	0.94623	0
omra	yfil	0.94622	0
sgrs	ubic	0.94622	0
chix	yigz	0.94621	0
omra	ybap	0.94621	0
omra	yidf	0.9462	0
rydc	frwb	0.9462	0
sgrs	ppib	0.9462	0
fnrs	hyua	0.94618	0
micc	rpph	0.94618	0
istr	ispb	0.94616	0
rybb	mak	0.94616	0
glmz	phnl	0.94615	0
micf	yiif	0.94615	0
mcas	ycjr	0.94612	0
ryhb	arob	0.94612	0
arcz	gltp	0.9461	0
omra	yciy	0.9461	0
omrb	yjjq	0.9461	0
rpra	hda	0.9461	0
spf	mdab	0.9461	0
mica	gltl	0.94608	0
micc	ydih	0.94608	0
mica	rsea	0.94607	0
ryhb	acna	0.94607	1
dsra	kup	0.94606	0
sgrs	gals	0.94606	0
cyar	hspq	0.94605	0
mica	pgab	0.94605	0
micc	ybhl	0.94605	0
rsex	dnak	0.94605	0
spf	rhmd	0.94605	0
gcvb	gatz	0.94601	0
mica	ycbj	0.94601	0
omrb	marc	0.94601	0
spf	ubib	0.94601	0
fnrs	fadr	0.946	0
gcvb	nagc	0.94599	0
omra	yfcq	0.94599	0
dsra	thil	0.94598	0
istr	ydfi	0.94598	0
mica	mlab	0.94597	0
mica	otsa	0.94595	0
micc	tfap	0.94593	0
omrb	flgd	0.94593	0
sgrs	pepd	0.94593	0
rsex	yjdc	0.94592	0
mica	yphg	0.94591	0
micc	sdha	0.94591	0
omrb	usg	0.9459	0
rpra	emta	0.94588	0
ryhb	ynbc	0.94588	0
arcz	opgg	0.94587	0
istr	yhjy	0.94586	0
omrb	pare	0.94584	0
gcvb	sufa	0.94583	0
oxys	dsrb	0.94583	0
glmz	ygdi	0.94582	0
rsex	lsrk	0.94581	0
arcz	sapa	0.9458	0
gcvb	ygib	0.9458	0
glmz	purk	0.9458	0
micf	amib	0.9458	0
ryhb	gspg	0.94579	0
sgrs	yadg	0.94579	0
gcvb	yjhp	0.94576	0
mica	rlmm	0.94576	0
omra	ylbf	0.94575	0
rybb	ypde	0.94575	0
spf	ybel	0.94575	0
omra	flin	0.94574	0
oxys	yjeh	0.94574	0
micc	kdgr	0.94573	0
fnrs	mhpb	0.94572	0
gcvb	stfr	0.94571	0
mica	yjga	0.9457	0
sgrs	eda	0.9457	0
gcvb	lsrb	0.94569	0
mica	dcyd	0.94568	0
fnrs	ccmf	0.94567	0
arcz	yfcq	0.94566	0
istr	cusa	0.94566	0
omrb	serb	0.94566	0
rydc	yiim	0.94566	0
sgrs	rcsc	0.94566	0
dsra	phoq	0.94565	0
fnrs	uspg	0.94565	0
spf	frr	0.94565	0
micf	fepa	0.94564	0
gcvb	epmc	0.94563	0
mica	ydhf	0.94563	0
rpra	dinb	0.94563	0
mica	rpsn	0.94562	0
rsex	allr	0.94562	0
arcz	ygiv	0.9456	0
rpra	phep	0.9456	0
rydc	uhpt	0.9456	0
spf	lptf	0.9456	0
mica	xanp	0.94558	0
arcz	ssb	0.94557	0
omra	intz	0.94557	0
rpra	astb	0.94557	0
sgrs	argc	0.94556	0
gcvb	tala	0.94555	0
omrb	ydck	0.94555	0
istr	meth	0.94554	0
istr	oppd	0.94553	0
gcvb	yjij	0.94552	0
spf	chbg	0.94552	0
omra	crfc	0.94551	0
istr	ydcu	0.9455	0
rpra	waao	0.94549	0
ryhb	ydcu	0.94548	0
fnrs	gros	0.94547	0
cyar	abrb	0.94546	0
rpra	chip	0.94546	0
gcvb	moeb	0.94545	0
rsex	ybhp	0.94545	0
glmz	yggu	0.94543	0
arcz	ygdq	0.94542	0
chix	fepd	0.94542	0
gcvb	gard	0.94542	0
spf	yeay	0.94542	0
dsra	sbma	0.94541	0
istr	ddpa	0.94541	0
rpra	dcua	0.94541	0
rpra	mrca	0.94541	0
rpra	phno	0.94539	0
spf	hisc	0.94539	0
oxys	rnb	0.94538	0
rpra	sdha	0.94536	0
rpra	wcab	0.94536	0
micc	ydjh	0.94535	0
istr	coad	0.94533	0
micc	deoa	0.94533	0
oxys	cvra	0.94533	0
spf	modb	0.94533	0
chix	eutl	0.94532	0
omra	mgrb	0.94532	0
micf	yhcc	0.9453	0
micf	yjjz	0.9453	0
rybb	atpi	0.94528	0
gcvb	rply	0.94527	0
mcas	yhak	0.94527	0
omra	nudb	0.94527	0
omrb	cysc	0.94527	0
spf	cydb	0.94527	0
dsra	aaeb	0.94525	0
gcvb	yicj	0.94525	0
fnrs	pdxk	0.94524	0
mica	ybjm	0.94524	0
arcz	yhbu	0.94523	0
spf	allb	0.94522	0
omrb	arae	0.94521	0
spf	zape	0.9452	0
arcz	biod	0.94519	0
ryhb	pck	0.94519	0
sgrs	mrdb	0.94519	0
oxys	yffb	0.94517	0
mica	msyb	0.94516	0
cyar	zupt	0.94515	0
glmz	uact	0.94515	0
rydc	yohc	0.94515	0
dsra	glnq	0.94514	0
micc	aste	0.94513	0
omrb	lolb	0.94513	0
spf	ygah	0.94513	0
chix	uspf	0.94512	0
istr	faba	0.94512	0
oxys	proq	0.94512	0
spf	secf	0.94512	0
cyar	yoaa	0.94511	0
fnrs	trer	0.94507	0
omrb	tort	0.94507	0
dsra	fryb	0.94504	0
arcz	yhal	0.94502	0
mica	infb	0.945	0
oxys	sece	0.945	0
spf	ycct	0.945	0
gcvb	ubih	0.94496	0
arcz	idnk	0.94495	0
spf	kdpc	0.94495	0
rpra	yigb	0.94494	0
sgrs	prea	0.94493	0
arcz	intr	0.94492	0
micc	fixa	0.94492	0
oxys	seqa	0.94492	0
rybb	galm	0.94492	0
rybb	hmp	0.94492	0
arcz	yegl	0.94491	0
dsra	ftse	0.94491	0
micc	ydiz	0.94489	0
rpra	spy	0.94489	0
oxys	bass	0.94488	0
rybb	hslr	0.94488	0
gcvb	yjei	0.94487	0
glmz	prpd	0.94486	0
arcz	modb	0.94485	0
istr	tatc	0.94484	0
chix	ulad	0.94483	0
chix	ybdm	0.94483	0
rpra	yaiz	0.94483	0
rybb	yhbe	0.94483	0
cyar	ykff	0.94482	0
spf	sucd	0.94482	0
gcvb	srka	0.94481	0
rpra	nade	0.94481	0
oxys	slyb	0.9448	0
rpra	yjdi	0.9448	0
rpra	flu	0.94479	0
rpra	tolb	0.94479	0
ryhb	yajc	0.94479	0
rybb	yhdp	0.94477	0
gcvb	sad	0.94476	0
oxys	fic	0.94476	0
arcz	ytjb	0.94475	0
oxys	hofo	0.94474	0
spf	amia	0.94473	0
mica	rne	0.94472	0
omrb	frya	0.94471	0
spf	amph	0.94471	0
glmz	yhab	0.9447	0
spf	fhua	0.9447	0
omrb	dsrb	0.94469	0
rybb	pote	0.94469	0
glmz	yidx	0.94467	0
sgrs	yder	0.94466	0
spf	yheo	0.94465	0
cyar	yfim	0.94464	0
omra	lpta	0.94464	0
oxys	yjjp	0.94463	0
rpra	rrrd	0.94463	0
dsra	malg	0.94462	0
rydc	srle	0.94462	0
omra	xdhb	0.94461	0
spf	abga	0.94461	0
spf	yhgf	0.94461	0
rybb	osmy	0.9446	0
fnrs	ycif	0.94459	0
cyar	ycei	0.94458	0
spf	dmsc	0.94457	0
micc	yech	0.94456	0
spf	ylcg	0.94454	0
sgrs	riha	0.94453	0
spf	ydhx	0.94453	0
chix	cbl	0.94452	0
spf	ygam	0.94452	0
micc	ghra	0.94449	0
rpra	fabd	0.94448	0
rybb	waaf	0.94448	0
spf	mtfa	0.94448	0
rsex	frdc	0.94447	0
istr	cuss	0.94446	0
omrb	lgt	0.94446	0
rpra	arac	0.94446	0
sgrs	phoh	0.94446	0
sgrs	rsxe	0.94446	0
arcz	yrak	0.94445	0
rybb	yaep	0.94445	0
spf	psts	0.94445	0
fnrs	ascg	0.94444	0
gcvb	spy	0.94444	0
oxys	yiim	0.94444	0
fnrs	yohd	0.94443	0
omra	tag	0.94443	0
omra	ycek	0.94443	0
rybb	nudb	0.94443	0
gcvb	yeje	0.94442	0
sgrs	ugpq	0.94442	0
gcvb	artm	0.9444	0
gcvb	mlab	0.94438	0
glmz	ais	0.94437	0
mica	hyba	0.94437	0
mcas	nrdg	0.94436	0
rsex	gark	0.94435	0
arcz	cdar	0.94434	0
glmz	rbn	0.94434	0
rpra	ndh	0.94434	0
rybb	fdni	0.94434	0
arcz	rsmg	0.94432	0
dsra	yaiy	0.94432	0
arcz	ftsk	0.94431	0
dsra	slt	0.94431	0
dsra	dapa	0.94429	0
fnrs	alsr	0.94429	0
istr	yejm	0.94429	0
chix	ybhs	0.94428	0
gcvb	ttca	0.94428	0
sgrs	ada	0.94428	0
rpra	phoh	0.94427	0
rydc	ftsx	0.94427	0
rpra	mhpc	0.94426	0
rsex	yhbt	0.94425	0
istr	gudd	0.94424	0
spf	yifk	0.94424	0
chix	flim	0.94422	0
arcz	rplw	0.94421	0
sgrs	ybit	0.94421	0
omrb	waaa	0.9442	0
arcz	hism	0.94419	0
arcz	phoe	0.94419	0
rybb	yeao	0.94419	0
rpra	cbl	0.94415	0
micf	yajc	0.94413	0
spf	ychj	0.94413	0
chix	yiee	0.9441	0
omra	ydir	0.94408	0
rpra	iada	0.94407	0
spf	yrda	0.94407	0
dsra	lsrr	0.94406	0
rybb	thrc	0.94405	0
oxys	rhas	0.94404	0
istr	pcm	0.94403	0
arcz	dcm	0.94402	0
fnrs	yihd	0.94402	0
omra	pepe	0.94402	0
chix	cred	0.94401	0
rpra	trkh	0.94401	0
rybb	trub	0.94401	0
fnrs	trxa	0.944	0
rpra	uhpt	0.944	0
rydc	ybdf	0.94399	0
glmz	rzpd	0.94397	0
dsra	atpi	0.94396	0
sgrs	mhpt	0.94396	0
sgrs	pyka	0.94396	0
mica	ttca	0.94394	0
gcvb	rng	0.94393	0
micf	ibag	0.94393	0
rybb	crp	0.94392	0
gcvb	yjeo	0.94391	0
omra	stfr	0.94391	0
chix	narv	0.94389	0
ryhb	nuoe	0.94389	0
rsex	yeez	0.94387	0
rybb	infa	0.94387	0
gcvb	csde	0.94386	0
rybb	fadd	0.94385	0
cyar	trma	0.94384	0
gcvb	yifl	0.94384	0
cyar	csrd	0.94383	0
gcvb	bioc	0.94383	0
omra	yjis	0.94383	0
rpra	hmp	0.94383	0
arcz	ycbz	0.94382	0
mica	pepp	0.94381	0
mica	yghu	0.94381	0
sgrs	prmc	0.94381	0
arcz	ydee	0.9438	0
micc	dppf	0.94379	0
arcz	acnb	0.94378	0
glmz	arof	0.94378	0
istr	ltae	0.94378	0
istr	yoab	0.94378	0
omra	psd	0.94378	0
oxys	proy	0.94378	0
sgrs	fadj	0.94377	0
omrb	fkpb	0.94376	0
oxys	ssua	0.94375	0
sgrs	cysg	0.94375	0
rpra	flik	0.94373	0
gcvb	dmsb	0.9437	0
gcvb	tas	0.9437	0
arcz	mtga	0.94369	0
cyar	sapb	0.94369	0
mcas	ygib	0.94369	0
micc	yaer	0.94368	0
omra	hcp	0.94365	0
omrb	betb	0.94365	0
arcz	arga	0.94364	0
arcz	gspj	0.94364	0
gcvb	lysp	0.94364	0
mica	ptsh	0.94364	0
sgrs	bcr	0.94364	0
mcas	ybio	0.94361	0
mica	gspi	0.94361	0
mica	stfr	0.94361	0
glmz	anmk	0.9436	0
cyar	mnga	0.94359	0
istr	mscs	0.94358	0
ryhb	malt	0.94358	0
micf	yaho	0.94357	0
rpra	fecb	0.94357	0
ryhb	yhbv	0.94357	0
dsra	yhje	0.94356	0
gcvb	dapf	0.94356	0
rpra	ydhc	0.94354	0
mica	trec	0.94351	0
omrb	tyrb	0.94351	0
arcz	rpod	0.9435	0
omrb	yeja	0.94349	0
rpra	nac	0.94349	0
arcz	arah	0.94348	0
rybb	lexa	0.94348	0
ryhb	lldr	0.94348	0
micc	tsx	0.94346	0
mcas	zrap	0.94343	0
fnrs	mukb	0.94342	0
spf	uspf	0.94342	0
micc	nude	0.94341	0
istr	nuog	0.9434	0
rpra	ycap	0.9434	0
gcvb	entf	0.94339	0
rpra	bira	0.94339	0
istr	ypjj	0.94338	0
arcz	clpp	0.94337	0
fnrs	mscm	0.94336	0
mica	nupx	0.94335	0
ryhb	yeae	0.94335	0
glmz	smg	0.94334	0
mica	gspf	0.94334	0
cyar	ypfj	0.94333	0
gcvb	yfcj	0.94333	0
chix	eama	0.94332	0
rpra	ycjo	0.94332	0
rydc	hslv	0.94332	0
glmz	ubii	0.94331	0
omra	yhco	0.94331	0
chix	reco	0.9433	0
mcas	lysp	0.94329	0
omrb	yfjp	0.94329	0
cyar	gspd	0.94327	0
rpra	epd	0.94327	0
rpra	ftsb	0.94327	0
chix	ydjx	0.94326	0
rpra	yjcb	0.94324	0
ryhb	mota	0.94324	0
mcas	tord	0.94323	0
rpra	yecf	0.94323	0
omrb	pykf	0.94321	0
omra	rfbd	0.9432	0
rybb	ytff	0.94319	0
spf	plsb	0.94319	0
gcvb	baer	0.94318	0
dsra	ycjx	0.94317	0
gcvb	infb	0.94317	0
cyar	rpse	0.94316	0
rpra	rcsf	0.94316	0
rybb	beti	0.94316	0
rydc	kdsd	0.94316	0
sgrs	ttdr	0.94316	0
arcz	ybbj	0.94315	0
sgrs	dbpa	0.94315	0
rpra	ytfp	0.94314	0
fnrs	xyla	0.94313	0
gcvb	nrdd	0.94313	0
micc	yrdd	0.94313	0
rpra	ilvc	0.94313	0
rpra	ycjf	0.94313	0
fnrs	mgrb	0.94312	0
istr	ypda	0.94312	0
rsex	scpc	0.94312	0
ryhb	sbp	0.94312	0
ryhb	guab	0.94311	0
omra	sufs	0.9431	0
ryhb	wcad	0.9431	0
mica	yaii	0.94309	0
rybb	yegp	0.94309	0
omra	ygjk	0.94308	0
cyar	yicj	0.94307	0
dsra	mdti	0.94307	0
sgrs	gluq	0.94307	0
dsra	glnb	0.94306	0
rydc	ycjf	0.94306	0
mica	pnuc	0.94305	0
gcvb	riml	0.94304	0
mica	gnd	0.94304	0
fnrs	kate	0.94303	0
mcas	ycjf	0.94303	0
omrb	ycct	0.94303	0
rybb	rlud	0.94301	1
mica	potd	0.94299	0
micf	atos	0.94299	0
istr	mdte	0.94297	0
arcz	ygcp	0.94294	0
dsra	htpx	0.94293	0
fnrs	rob	0.94293	0
micc	hiss	0.94293	0
micf	cura	0.94293	0
micf	deoc	0.94292	0
arcz	ygid	0.94291	0
dsra	yafs	0.94291	0
gcvb	nudb	0.94291	0
mcas	yqhg	0.94291	0
micc	cyse	0.94291	0
spf	tsr	0.94291	0
cyar	mazg	0.9429	0
gcvb	hemy	0.9429	0
cyar	mtld	0.94289	0
ryhb	ydjx	0.94289	0
rydc	rpsc	0.94288	0
mica	mak	0.94287	0
sgrs	dsrb	0.94287	0
rpra	cobu	0.94285	0
rsex	gshb	0.94285	0
spf	xylb	0.94285	0
micf	dedd	0.94284	0
rpra	ssna	0.94284	0
ryhb	dape	0.94284	0
dsra	yeie	0.94283	0
istr	rect	0.94283	0
rpra	yeex	0.94283	0
arcz	ycca	0.94282	0
dsra	rpod	0.94282	0
chix	rham	0.9428	0
gcvb	znuc	0.9428	0
